,Image,Artist,Work,CP Hex1,CP Hex2,CP Hex3,CP Hex4,CP Hex5,CP Hex6,Image_Category,Unique_Color
0,https://en.most-famous-paintings.com/Art.nsf/O/8XYFFG/$File/Leonardo-Da-Vinci-Mona-Lisa-La-Gioconda--S.jpg,Leonardo Da Vinci, Mona Lisa ,#3b252e,#513426,#89a09a,#586a69,#d9af74,#8b6138,Brownish,#ce9380
1,https://en.most-famous-paintings.com/Art.nsf/O/5ZKG47/$File/Vincent-Van-Gogh-Starry-Night-S.jpg,Vincent Van Gogh, The Starry Night ,#4982b2,#274e8c,#bfc78d,#1b2836,#20241c,#87b0bf,Blueish,#dad125
2,https://en.most-famous-paintings.com/Art.nsf/O/8XXU4K/$File/Edvard-Munch-The-Scream-S.jpg,Edvard Munch, The Scream ,#e19c66,#5c7184,#23313c,#8e7969,#78595f,#3d342b,Brownish,#43d2ad
3,https://en.most-famous-paintings.com/Art.nsf/O/5ZKDK5/$File/Pablo-Picasso-Three-Musicians-S.JPG,Pablo Picasso, Three Musicians ,#623911,#5c4cb2,#dbe3b8,#b6721b,#3c263c,#271708,Redish,
4,https://en.most-famous-paintings.com/Art.nsf/O/8XYC2C/$File/Jan-Vermeer-The-Girl-with-a-Pearl-Earring-S.jpg,Jan Vermeer, The Girl with a Pearl Earring ,#030208,#937e40,#81b2d2,#272312,#dac399,#1c3a5d,Blueish,#ed1d0d
5,https://en.most-famous-paintings.com/Art.nsf/O/8YDJKC/$File/Rembrandt_Van_Rijn-Night_Watch_-S.JPG,Rembrandt Van Rijn, Night Watch ,#3f2f12,#111008,#a8955e,#705924,#0d0a0c,#1d1506,Blackish,
6,https://en.most-famous-paintings.com/Art.nsf/O/5ZKCLN/$File/Gustav-Klimt-The-Kiss-Bacio--S.jpg,Gustav Klimt, The Kiss ,#716031,#e8c33b,#473b1b,#3a5838,#2e242e,#b28f3b,Brownish,#c3544b
7,https://en.most-famous-paintings.com/Art.nsf/O/8EWENT/$File/Claude-Monet-Water-Lilies-S.JPG,Claude Monet, Water Lilies ,#5d7991,#bfd4b7,#204479,#87a081,#58725b,#7a98b8,Greenish,
8,https://en.most-famous-paintings.com/Art.nsf/O/8YE42F/$File/Georges-Pierre-Seurat-A-Sunday-Afternoon-on-the-Island-of-La-Grande-Jatte-S.JPG,Georges Pierre Seurat, A Sunday Afternoon on the Island of La Grande Jatte ,#4f513c,#c0ac86,#5e4a54,#8b6c4f,#a2a6ae,#392920,Brownish,#2f1b96
9,https://en.most-famous-paintings.com/Art.nsf/O/8XY5W5/$File/Grant-Wood-American-Gothic-S.jpg,Grant Wood, American Gothic ,#14140f,#bacdbd,#82724b,#1e2323,#3b2911,#ccb98b,Blackish,#45a211
